index,antecedent,consequent,confidence,support,interest
0,"possible,for,to,be",it,0.9924467841611353,0.011148851046104715,0.9225299120103789
1,"possible,for,to",it,0.9911060433295324,0.011174563340952744,0.9211891711787761
2,"possible,to,be",it,0.9842282687214062,0.021019801038262467,0.9143113965706499
3,"possible,to",it,0.9788606234324615,0.021073796857443323,0.9089437512817051
4,"explain,can",you,0.9849553361542078,0.010773451541323515,0.9040413154969501
5,"possible,for,be",it,0.9723817940786567,0.011315980962616894,0.9024649219279003
6,"possible,for",it,0.9681738366988587,0.011341693257464923,0.8982569645481023
7,"possible,be",it,0.9523013484899142,0.021971155947639483,0.8823844763391578
8,possible,it,0.9407439920991989,0.02204315037321396,0.8708271199484425
9,explain,you,0.9345014601585315,0.011519108091916311,0.8535874395012738
10,"provide,can",you,0.9301937903729943,0.011477968420159468,0.8492797697157366
11,"provide,you",can,0.9405815423514539,0.011477968420159468,0.8325590492359208
12,"explain,you",can,0.9352678571428571,0.010773451541323515,0.8272453640273241
13,"behind,what,be,the",reason,0.857717580796567,0.016445583784798375,0.8231139743900916
14,"behind,what,be",reason,0.8566461620754212,0.016471296079646404,0.8220425556689458
15,"behind,what,the",reason,0.8565350352346762,0.016563860341099305,0.8219314288282008
16,"my,can",i,0.8708368915456874,0.010488045068510409,0.821060459949391
17,"behind,what",reason,0.8548152073122268,0.016592143865432132,0.8202116009057514
18,"behind,be,the",reason,0.8422630687002999,0.016612713701310556,0.8076594622938245
19,"behind,be",reason,0.8372995344024832,0.016646139684612992,0.8026959279960078
20,"behind,the",reason,0.8272738709271606,0.016908405092062873,0.7926702645206852
21,behind,reason,0.8181705349385627,0.016949544763819716,0.7835669285320873
22,explain,can,0.8873591989987485,0.01093801022835089,0.7793367058832155
23,"some,to,what,be",ways,0.7696823204419889,0.017193811564875976,0.7387787132641447
24,"some,to,what",ways,0.7637048880767474,0.017193811564875976,0.7328012808989032
25,"some,to,be",ways,0.7362395420519595,0.017196382794360778,0.7053359348741153
26,between,and,0.8576158940397351,0.011987071858150412,0.6900051576138984
27,"ways,some,be",what,0.9998549042367962,0.017718342379775737,0.68441904227068
28,"ways,some,to,be",what,0.9998504784688995,0.017193811564875976,0.6844146165027831
29,"ways,to,what,be",some,0.7319395796847635,0.017193811564875976,0.6842587001185814
30,due,to,0.995138448530966,0.012105348414451338,0.6837882702162013
31,"ways,some,to",what,0.9977618621307073,0.017193811564875976,0.682326000164591
32,"ways,some",what,0.997684515195369,0.017726056068230144,0.6822486532292527
33,"ways,to,be",some,0.7283816162056197,0.017196382794360778,0.6807007366394375
34,"ways,to,be",what,0.9949901982138968,0.023490752573157907,0.6795543362477805
35,"ways,be",what,0.9926870244095266,0.025828000174843605,0.6772511624434103
36,"behind,reason,be,the",what,0.9899396378269618,0.016445583784798375,0.6745037758608454
37,"behind,reason,be",what,0.9894964473277726,0.016471296079646404,0.6740605853616564
38,"possible,it,for",to,0.9852641124461573,0.011174563340952744,0.6739139341313926
39,"possible,it,for,be",to,0.9852306294024086,0.011148851046104715,0.6738804510876438
40,"ways,to",what,0.9880889638452619,0.02410270519054096,0.6726531018791455
41,"process,for,be,the",what,0.9858067209350866,0.012143916856723379,0.6703708589689703
42,ways,what,0.9857725268325152,0.03046392693594296,0.6703366648663989
43,"ways,the",what,0.982498359221177,0.011547391616249143,0.6670624972550607
44,"process,for,be",what,0.9818706221672847,0.012254479724569898,0.6664347602011684
45,"ways,to,what",some,0.7133560913164071,0.017193811564875976,0.6656752117502249
46,"step,to",what,0.9810126582278481,0.017137244516210317,0.6655767962617318
47,"ways,in",what,0.9808298956563941,0.010392909577572707,0.6653940336902777
48,"behind,reason,the",what,0.9796228710462287,0.016563860341099305,0.6641870090801123
49,"behind,reason",what,0.9789138349514563,0.016592143865432132,0.66347797298534
50,"ways,some,be",to,0.9704004643064422,0.017196382794360778,0.6590502859916775
51,"ways,some,what,be",to,0.9703961689159774,0.017193811564875976,0.6590459906012126
52,"ways,to",some,0.7064403921155266,0.017232380007148017,0.6587595125493444
53,"ways,some,what",to,0.9699738903394256,0.017193811564875976,0.6586237120246609
54,"ways,some",to,0.9698986975397974,0.017232380007148017,0.6585485192250327
55,"behind,be,the",what,0.9721027245469952,0.019173658268174094,0.6566668625808789
56,"possible,for,be",to,0.9653115333627927,0.011233701619103207,0.653961355048028
57,"some,to",ways,0.6844362745098039,0.017232380007148017,0.6535326673319597
58,"reason,be,the",what,0.96794265910523,0.03159783913874097,0.6525067971391136
59,"behind,be",what,0.9671495085359545,0.01922765408735495,0.6517136465698381
60,"possible,for",to,0.9624670763827919,0.01127484129086005,0.6511168980680272
61,"reason,for,be,the",what,0.9647077114427861,0.01595447895320105,0.6492718494766698
62,step,what,0.9642660802638813,0.018039746065376082,0.648830218297765
63,"reason,of,be,the",what,0.9621993127147767,0.010799163836171542,0.6467634507486604
64,"possible,it,be",to,0.9566998244587478,0.021019801038262467,0.645349646143983
65,"possible,it",to,0.95602472879972,0.021073796857443323,0.6446745504849553
66,"reason,of,be",what,0.9570454545454545,0.010827447360504372,0.6416095925793381
67,"some,to,be",what,0.9564068692206077,0.022338841763966277,0.6409710072544914
68,"reason,be",what,0.9563080703370959,0.032022092003733425,0.6408722083709795
69,"reason,for,the",what,0.9559498317528297,0.016070184280017177,0.6405139697867133
70,"process,for,the",what,0.9553903345724907,0.01255531357429182,0.6399544726063744
71,"reason,for,be",what,0.9553098015452204,0.01621417313116613,0.639873939579104
72,"method,be,the",what,0.9551547648062393,0.01007664835094197,0.6397189028401229
73,"reason,the",what,0.9545279383429672,0.031844677169282035,0.6390920763768508
74,"step,what",to,0.9499714937286203,0.017137244516210317,0.6386213154138556
75,"ways,what,be",some,0.6860129417620707,0.017718342379775737,0.6383320621958886
76,"process,for",what,0.9495183044315992,0.012671018901107943,0.634082442465483
77,"ways,be",some,0.6810949698586817,0.01772091360926054,0.6334140902924995
78,"process,be,the",what,0.9470440251572327,0.019358786791079892,0.6316081631911163
79,"behind,the",what,0.9461567492766386,0.01933821695520147,0.6307208873105223
80,"reason,of,the",what,0.9460488023281844,0.010866015802776413,0.6306129403620682
81,"reason,for",what,0.9420247204237787,0.016461011161707194,0.6265888584576624
82,"reason,of",what,0.9393805309734513,0.010917440392472468,0.6239446690073349
83,reason,what,0.9381037301233467,0.03246177224563469,0.6226678681572304
84,step,to,0.9337548103353491,0.017468933119749872,0.6224046320205844
85,"process,be",what,0.9372921029937169,0.019561913920379308,0.6218562410276005
86,behind,what,0.9369492366885938,0.019410211380775946,0.6215133747224775
87,"method,be",what,0.9362642474994185,0.010349198676331061,0.6208283855333021
