index,antecedent,consequent,confidence,support,interest
0,difference,between,0.9295583238958097,0.010260076950577129,0.9042006337131333
1,"my,how",i,0.9571483229179951,0.0187626407198054,0.821909808629138
2,"my,can",i,0.9375519016774622,0.014112605844543834,0.802313387388605
3,"my,do",i,0.8794227834050229,0.01584511883839129,0.7441842691161658
4,"between,what,the",and,0.9535552815454171,0.011600087000652504,0.6821082456926482
5,"between,what,the,be",and,0.9528478057889822,0.010205076538074035,0.6814007699362132
6,"between,what,be",and,0.9508514766113386,0.011027582706870301,0.6794044407585698
7,"between,what",and,0.9498201098276842,0.01254009405070538,0.6783730739749152
8,such,as,0.7532557735718006,0.010845081338110036,0.6772377034362747
9,difference,and,0.9295583238958097,0.010260076950577129,0.6581112880430409
10,"between,the,be",and,0.9267248215701824,0.014607609557071678,0.6552777857174135
11,my,i,0.7882803768162222,0.037027777708332814,0.6530418625273651
12,"between,the",and,0.918248694826768,0.019347645107338305,0.6468016589739991
13,"between,be",and,0.9159836065573771,0.0167626257196929,0.6445365707046082
14,"my,to",i,0.7723726480036714,0.012622594669460021,0.6371341337148143
15,between,and,0.9039731834762891,0.0229226719200394,0.6325261476235202
16,"way,be",to,0.8477501540990343,0.010315077363080223,0.5548229571450571
17,"can,how",i,0.6785436253667885,0.028327712457843435,0.5433051110779313
18,"way,the",to,0.8301460004112687,0.010092575694317707,0.5372188034572916
19,"best,to,the,be",what,0.7693774926304838,0.011092583194373958,0.5197106201289401
20,"my,be",i,0.6547159404302262,0.011870089025667692,0.519477426141369
21,"i,do",how,0.6715807076218976,0.038152786145896095,0.5151670345193493
22,"best,to,the",what,0.7621705426356589,0.012290092175691318,0.5125036701341151
23,way,to,0.8001280204832774,0.01250009375070313,0.5072008235293002
24,"best,to,be",what,0.7519934906427991,0.011552586644399832,0.5023266181412553
25,"best,to",what,0.7401790872328134,0.012812596094470708,0.4905122147312697
26,"i,do,a",how,0.6398023994354269,0.011332584994387458,0.48338872633287866
27,"you,how",do,0.6716853408029878,0.014387607907059303,0.4818414169735591
28,"some,be",what,0.7217750402463778,0.025780193351450136,0.4721081677448341
29,should,i,0.6002204377263423,0.019060142951072133,0.4649819234374851
30,"your,be",what,0.7122325657357504,0.01090258176936327,0.4625656932342067
31,include,and,0.7289830508474576,0.010752580644354833,0.4575360149946887
32,n't,do,0.6429011205516562,0.013052597894484208,0.45305719672222744
33,"between,and,the,be",what,0.6986137258257744,0.010205076538074035,0.4489468533242307
34,"best,what,to,be",the,0.9601817788357498,0.011092583194373958,0.43587284651875746
35,"best,what,to",the,0.9592195121951219,0.012290092175691318,0.43491057987812953
36,"best,the,be",what,0.6820783515644874,0.026812701095258216,0.43241147906294364
37,"can,i",how,0.5864299761929407,0.028327712457843435,0.4300163030903924
38,"between,the,be",what,0.6794607454401269,0.010710080325602443,0.4297938729385832
39,"some,what",be,0.9859451190362367,0.025780193351450136,0.42517841328594363
40,"india,be",in,0.7200211304807185,0.01022257666932502,0.416136351344875
41,"best,the",what,0.6640365923384791,0.02903521776413323,0.4143697198369354
42,"best,to,be",the,0.938486574450773,0.01441760813206099,0.4141776421337806
43,"best,be",what,0.661509150741874,0.028645214839111293,0.41184227824033026
44,"best,what,be",the,0.9360272298830511,0.026812701095258216,0.4117182975660587
45,"between,and,be",what,0.6578672632363908,0.011027582706870301,0.40820039073484704
46,"by,in,of",the,0.9319672131147541,0.01421260659454946,0.4076582807977617
47,"best,what",the,0.9317288407541116,0.02903521776413323,0.40741990843711917
48,"best,to",the,0.9315424610051993,0.01612512093840704,0.40723352868820695
49,"state,of",the,0.9308075772681954,0.011670087525656443,0.406498644951203
50,"by,in,of,be",the,0.9306778169014085,0.010572579294344707,0.4063688845844161
51,"between,what,and,be",the,0.9254137383813195,0.010205076538074035,0.4011048060643271
52,"between,what,and",the,0.9250398724082934,0.011600087000652504,0.40073094009130106
53,"between,what,be",the,0.923474886829058,0.010710080325602443,0.3991659545120656
54,"by,and,of",the,0.9230987917555081,0.016235121763413227,0.39878985943851575
55,"there,in",be,0.9580686149936467,0.011310084825636193,0.3973019092433536
56,"between,what",the,0.9214163984093922,0.012165091238184286,0.3971074660923998
57,"by,and,of,be",the,0.9194385695058642,0.011955089663172474,0.39512963718887184
58,"some,the",of,0.6999863443943739,0.01281509611322085,0.3944390527896869
59,"by,to,of",the,0.9186775603268098,0.012087590656929928,0.3943686280098174
60,there,be,0.954384837777064,0.0297102228266712,0.3936181320267709
61,"best,in,be",the,0.9166498078090228,0.011327584956887177,0.39234087549203045
62,"there,a",be,0.9521115376843807,0.01178008835066263,0.39134483193408764
63,"and,to,in,of",the,0.9155210410326372,0.02181016357622682,0.3912121087156448
64,"and,to,in,of,be",the,0.914342300709688,0.013850103875779068,0.39003336839269565
65,"on,in,of",the,0.9127342123525329,0.013152598644489834,0.38842528003554055
66,"there,to",be,0.9478694469628286,0.010455078413088098,0.3871027412125355
67,best,what,0.6343511450381679,0.031162733720502905,0.3846842725366242
68,"between,be",what,0.6337431693989071,0.011597586981902365,0.38407629689736333
69,"there,the",be,0.9446633237822349,0.013187598906991803,0.38389661803194186
70,"best,be",the,0.9077997806131286,0.039310294827211205,0.3834908482961362
71,"state,in",the,0.9075372480280456,0.010355077663082473,0.3832283157110532
72,"most,of",the,0.9067346505205014,0.010670080025600192,0.382425718203509
73,"how,do,a",i,0.5172295755362848,0.011332584994387458,0.38199106124742765
74,"from,in,of",the,0.9059628125667878,0.010597579481846114,0.3816538802497954
75,"at,and,of",the,0.9045543691436043,0.010377577831833738,0.38024543682661194
